State,District,Crop,Season,Area_ha,Annual_Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_ton_per_ha
Andhra Pradesh,Guntur,Sugarcane,Whole Year,190.08,1087.3,29.1,6.58,170.6,0.64,13.0
West Bengal,Burdwan,Maize,Kharif,630.57,1673.1,26.3,6.14,156.4,3.48,10.998
Madhya Pradesh,Indore,Wheat,Rabi,33.42,840.3,21.0,7.3,164.0,5.92,8.433
Jharkhand,Ranchi,Barley,Rabi,63.75,1059.3,15.8,5.27,80.7,6.69,6.026
Maharashtra,Nagpur,Barley,Rabi,93.26,1131.7,40.1,6.71,99.7,1.05,5.52
Assam,Kamrup,Soybean,Kharif,169.41,2828.1,29.6,5.62,106.3,7.0,7.56
Punjab,Patiala,Mustard,Rabi,81.3,586.0,25.7,7.09,189.3,0.95,4.843
West Bengal,Burdwan,Sugarcane,Whole Year,272.13,1698.6,26.5,5.7,152.9,6.25,13.0
Tamil Nadu,Thanjavur,Chickpea,Rabi,60.17,1213.6,25.5,6.51,158.4,3.52,4.742
Assam,Jorhat,Maize,Kharif,366.67,2274.8,25.8,5.4,54.4,4.9,8.617
Assam,Jorhat,Cotton,Kharif,15.53,2463.2,29.9,5.18,88.8,6.7,6.201
Bihar,Patna,Chickpea,Rabi,229.96,916.8,34.8,6.77,62.0,18.0,2.689
Punjab,Ludhiana,Maize,Kharif,366.45,628.0,28.8,6.98,235.1,5.19,9.761
Uttar Pradesh,Varanasi,Wheat,Rabi,575.11,796.8,24.7,6.43,243.1,1.77,9.447
Gujarat,Rajkot,Soybean,Kharif,44.72,534.8,23.1,7.68,184.4,7.09,5.281
Karnataka,Raichur,Groundnut,Kharif,151.16,1145.3,26.4,6.11,153.5,11.99,6.602
Bihar,Gaya,Barley,Rabi,13.27,928.2,36.0,6.78,72.8,3.05,5.207
Andhra Pradesh,Guntur,Wheat,Rabi,130.76,809.1,29.3,6.26,84.8,4.16,6.924
Punjab,Ludhiana,Mustard,Rabi,863.44,617.8,20.1,7.09,183.9,0.54,5.909
Bihar,Gaya,Wheat,Rabi,428.32,1045.9,27.3,6.41,74.6,13.27,7.037
Maharashtra,Pune,Sugarcane,Whole Year,189.84,1070.4,30.7,7.65,182.6,1.24,13.0
Jharkhand,Hazaribag,Chickpea,Rabi,339.98,1311.9,27.6,6.37,166.4,2.62,4.355
Maharashtra,Pune,Rice,Kharif,79.8,1346.4,35.4,7.98,113.9,2.22,10.127
West Bengal,Murshidabad,Chickpea,Rabi,156.39,1643.8,22.8,6.92,110.5,1.81,4.463
Tamil Nadu,Madurai,Mustard,Rabi,198.18,1146.5,28.7,7.07,144.6,4.65,5.688
Haryana,Rohtak,Wheat,Rabi,258.38,664.3,16.2,8.2,226.0,8.08,9.068
Assam,Jorhat,Chickpea,Rabi,53.78,1753.0,19.8,6.35,86.2,5.24,4.973
Maharashtra,Nagpur,Rice,Kharif,114.95,691.9,26.5,6.73,122.4,3.15,7.789
Madhya Pradesh,Bhopal,Barley,Rabi,390.37,942.9,23.7,6.46,51.7,0.1,5.621
Bihar,Muzaffarpur,Chickpea,Rabi,116.69,1326.8,29.2,6.65,106.3,3.87,3.541
Gujarat,Ahmedabad,Wheat,Rabi,36.69,764.4,22.0,6.96,170.8,0.13,8.351
West Bengal,Burdwan,Wheat,Rabi,399.34,1855.6,26.1,7.27,195.4,0.12,10.949
Odisha,Cuttack,Rice,Kharif,76.01,1510.1,29.2,6.44,107.2,2.48,11.143
Jharkhand,Hazaribag,Groundnut,Kharif,151.96,1269.3,16.4,5.98,76.6,0.73,5.417
Madhya Pradesh,Indore,Groundnut,Kharif,364.17,1071.7,27.0,7.17,81.5,10.13,5.792
Punjab,Patiala,Sugarcane,Whole Year,534.58,800.3,20.8,7.23,244.2,0.85,13.0
Odisha,Cuttack,Soybean,Kharif,76.58,942.8,32.8,6.21,71.1,7.05,4.989
Andhra Pradesh,Krishna,Cotton,Kharif,220.28,833.7,23.3,6.13,167.7,5.59,5.54
Uttar Pradesh,Varanasi,Wheat,Rabi,100.89,824.0,26.1,6.45,95.2,4.16,6.856
Punjab,Patiala,Wheat,Rabi,193.25,426.2,31.2,7.6,110.0,6.97,6.012
Haryana,Karnal,Mustard,Rabi,100.3,537.6,18.1,7.34,122.9,2.79,4.404
Andhra Pradesh,Kurnool,Soybean,Kharif,14.79,1086.5,33.7,6.52,149.9,1.67,6.034
Bihar,Patna,Soybean,Kharif,67.06,914.3,25.6,5.95,126.1,1.29,5.54
Maharashtra,Pune,Cotton,Kharif,106.73,1278.4,25.1,7.27,124.9,4.0,5.678
Maharashtra,Nashik,Chickpea,Rabi,499.6,883.8,25.5,6.52,150.1,1.93,3.959
Jharkhand,Dhanbad,Chickpea,Rabi,51.77,744.6,27.2,5.82,116.0,1.85,2.698
Tamil Nadu,Coimbatore,Sugarcane,Whole Year,110.24,1199.4,27.9,6.9,133.7,3.85,13.0
Punjab,Amritsar,Chickpea,Rabi,406.91,549.6,20.8,6.97,298.7,0.69,4.154
West Bengal,Murshidabad,Maize,Kharif,137.34,1165.8,29.1,7.08,81.0,15.42,8.299
Uttar Pradesh,Varanasi,Sugarcane,Whole Year,3.19,734.2,36.3,6.79,206.9,3.24,13.0
Assam,Nagaon,Sugarcane,Whole Year,102.56,1938.0,29.5,6.28,141.5,1.6,13.0
Tamil Nadu,Thanjavur,Wheat,Rabi,204.42,739.7,28.4,6.6,179.0,3.99,7.951
Karnataka,Mysuru,Sugarcane,Whole Year,81.16,630.1,21.7,6.69,139.1,3.04,13.0
Madhya Pradesh,Bhopal,Sugarcane,Whole Year,0.3,1011.1,35.5,6.75,21.9,0.45,12.207
Uttar Pradesh,Varanasi,Groundnut,Kharif,18.67,1032.0,26.9,8.16,177.7,4.93,6.614
Assam,Jorhat,Cotton,Kharif,95.9,2146.6,23.3,4.9,53.4,2.49,4.576
Uttar Pradesh,Varanasi,Cotton,Kharif,137.42,1173.4,19.2,7.42,161.4,16.97,5.524
Jharkhand,Dhanbad,Wheat,Rabi,224.36,1292.8,38.0,6.21,156.8,0.53,8.66
Madhya Pradesh,Bhopal,Cotton,Kharif,84.96,872.0,23.5,7.17,82.3,13.0,4.573
Gujarat,Ahmedabad,Mustard,Rabi,186.41,741.7,28.9,7.63,124.0,2.44,4.547
Gujarat,Ahmedabad,Mustard,Rabi,52.94,576.1,30.8,7.68,20.0,0.29,2.217
Karnataka,Raichur,Cotton,Kharif,0.3,918.3,29.9,6.47,136.8,1.59,5.032
Jharkhand,Ranchi,Maize,Kharif,823.06,1157.3,34.5,5.89,89.2,0.96,7.828
Karnataka,Mysuru,Wheat,Rabi,49.9,821.6,24.1,6.33,152.7,6.59,7.969
Haryana,Rohtak,Soybean,Kharif,351.52,413.8,22.9,6.93,116.5,4.63,4.189
Assam,Nagaon,Mustard,Rabi,42.07,1293.1,33.0,6.08,44.0,6.29,4.482
Tamil Nadu,Coimbatore,Soybean,Kharif,372.04,851.2,29.9,5.52,233.3,0.36,5.893
Bihar,Muzaffarpur,Rice,Kharif,123.03,1042.8,20.1,5.99,141.4,10.88,9.492
Punjab,Ludhiana,Groundnut,Kharif,303.89,602.2,21.1,7.16,206.1,6.1,5.421
Assam,Kamrup,Groundnut,Kharif,146.13,2165.9,23.4,5.7,103.8,2.51,6.359
West Bengal,Burdwan,Groundnut,Kharif,123.96,1823.3,30.3,4.74,146.5,16.72,6.733
Maharashtra,Nashik,Soybean,Kharif,61.59,1238.9,35.9,7.16,153.1,1.68,6.66
Haryana,Karnal,Maize,Kharif,77.79,456.8,19.6,7.78,183.0,0.47,7.254
Tamil Nadu,Madurai,Soybean,Kharif,34.07,1036.6,37.1,6.71,123.5,1.65,5.455
Odisha,Cuttack,Sugarcane,Whole Year,137.05,1237.5,26.0,6.13,127.9,0.1,13.0
Karnataka,Mysuru,Barley,Rabi,123.44,812.4,30.4,6.29,152.7,5.24,6.611
Karnataka,Raichur,Mustard,Rabi,140.98,934.0,24.4,6.44,156.1,6.43,5.711
Tamil Nadu,Madurai,Wheat,Rabi,233.52,1390.4,31.7,5.62,167.5,5.01,9.795
Jharkhand,Dhanbad,Groundnut,Kharif,65.12,1465.4,28.2,6.12,110.9,0.75,6.704
Gujarat,Ahmedabad,Sugarcane,Whole Year,41.66,786.2,32.6,7.88,197.9,2.83,13.0
Assam,Jorhat,Sugarcane,Whole Year,282.33,2309.4,27.3,6.06,123.7,6.46,13.0
Maharashtra,Nagpur,Cotton,Kharif,434.66,329.7,38.6,6.6,65.4,1.86,3.267
Rajasthan,Jodhpur,Chickpea,Rabi,142.71,308.4,21.7,8.29,86.0,4.5,2.462
Bihar,Gaya,Cotton,Kharif,184.33,993.0,39.6,6.63,90.3,4.16,4.691
Karnataka,Raichur,Sugarcane,Whole Year,26.11,958.5,25.0,5.55,148.3,4.65,13.0
Punjab,Amritsar,Barley,Rabi,202.22,502.0,17.9,7.94,186.0,1.85,6.604
Odisha,Cuttack,Chickpea,Rabi,176.29,1428.4,29.2,6.31,80.1,3.09,4.021
Uttar Pradesh,Agra,Soybean,Kharif,412.29,879.6,23.2,6.2,143.4,5.68,6.024
Maharashtra,Pune,Soybean,Kharif,511.81,902.6,30.7,6.66,92.0,2.24,4.992
Odisha,Puri,Groundnut,Kharif,119.47,1140.2,32.7,5.52,91.6,0.23,5.343
Maharashtra,Nashik,Barley,Rabi,4.41,515.2,34.4,7.17,119.3,3.82,4.995
Madhya Pradesh,Bhopal,Soybean,Kharif,195.86,982.6,30.9,7.18,137.2,0.55,5.66
Madhya Pradesh,Indore,Sugarcane,Whole Year,86.0,686.7,42.5,6.94,134.6,0.42,12.676
Maharashtra,Nagpur,Barley,Rabi,787.64,891.6,32.3,7.76,111.3,2.74,5.447
Madhya Pradesh,Indore,Mustard,Rabi,36.25,767.6,28.5,6.36,20.0,10.2,3.233
Haryana,Karnal,Maize,Kharif,309.26,606.8,19.8,7.8,173.5,13.37,7.931
Uttar Pradesh,Agra,Wheat,Rabi,3.62,869.3,32.4,7.4,196.4,0.47,8.113
Odisha,Puri,Barley,Rabi,160.82,1451.1,30.5,6.95,100.6,1.16,6.482
Maharashtra,Nagpur,Cotton,Kharif,298.88,1059.8,26.2,6.59,173.6,11.68,6.044
Rajasthan,Jodhpur,Barley,Rabi,100.83,206.2,38.3,8.07,97.4,0.6,3.743
Bihar,Gaya,Mustard,Rabi,821.14,1200.1,24.9,6.67,149.3,0.53,5.693
West Bengal,Nadia,Soybean,Kharif,428.12,1421.1,25.1,6.32,140.8,11.95,7.792
Jharkhand,Ranchi,Chickpea,Rabi,2.54,1429.7,34.2,5.09,91.8,2.87,3.829
Haryana,Hisar,Sugarcane,Whole Year,82.15,549.0,25.5,7.37,203.4,0.41,13.0
Karnataka,Mysuru,Barley,Rabi,342.13,914.3,29.9,6.15,104.8,7.42,5.564
Karnataka,Raichur,Groundnut,Kharif,30.62,895.9,26.0,6.52,111.1,4.84,5.12
Gujarat,Surat,Chickpea,Rabi,6.32,783.4,32.1,7.11,176.7,4.71,3.539
Rajasthan,Jaipur,Chickpea,Rabi,362.85,282.5,27.2,8.06,125.5,4.15,2.324
Gujarat,Rajkot,Mustard,Rabi,218.72,813.7,22.4,7.59,176.7,1.06,5.549
Madhya Pradesh,Bhopal,Rice,Kharif,158.22,1004.1,34.6,6.84,130.6,0.41,8.938
Bihar,Patna,Wheat,Rabi,365.84,977.0,26.7,7.07,165.4,14.02,9.04
Karnataka,Dharwad,Chickpea,Rabi,23.89,1199.1,29.6,6.51,148.2,0.36,4.256
Odisha,Cuttack,Barley,Rabi,71.31,935.3,27.8,5.04,137.3,4.76,6.329
Odisha,Cuttack,Mustard,Rabi,67.18,1547.8,34.0,6.07,53.1,5.45,4.584
West Bengal,Burdwan,Soybean,Kharif,148.99,1348.0,25.1,7.23,137.1,0.12,6.677
Assam,Nagaon,Barley,Rabi,186.83,2284.4,25.5,6.17,126.7,4.24,8.029
Bihar,Muzaffarpur,Chickpea,Rabi,128.07,984.7,24.5,6.35,92.8,14.44,3.427
Assam,Jorhat,Barley,Rabi,9.34,1657.9,24.2,4.28,77.1,12.46,5.987
Tamil Nadu,Madurai,Wheat,Rabi,145.37,1140.4,26.3,6.05,129.6,0.1,8.432
Punjab,Patiala,Sugarcane,Whole Year,340.98,568.0,20.1,7.54,241.5,2.99,13.0
Madhya Pradesh,Jabalpur,Maize,Kharif,105.87,836.1,24.1,6.21,42.0,8.34,6.621
Punjab,Patiala,Sugarcane,Whole Year,8.28,757.8,27.1,7.41,184.9,3.83,13.0
Punjab,Amritsar,Cotton,Kharif,103.58,637.4,18.9,7.57,204.6,1.36,4.734
Tamil Nadu,Thanjavur,Barley,Rabi,2.04,1351.2,33.5,5.63,181.9,3.32,7.522
Karnataka,Raichur,Maize,Kharif,133.11,879.3,24.0,5.85,111.8,3.01,7.302
Madhya Pradesh,Indore,Groundnut,Kharif,381.89,1017.2,27.0,6.58,89.0,2.74,5.621
Assam,Jorhat,Sugarcane,Whole Year,496.91,2687.4,25.0,5.77,97.8,1.97,13.0
Maharashtra,Pune,Barley,Rabi,93.86,650.3,35.2,7.36,120.4,0.54,4.721
Rajasthan,Jodhpur,Wheat,Rabi,1.35,334.6,33.0,6.63,106.7,1.71,5.616
Punjab,Ludhiana,Mustard,Rabi,173.61,739.4,29.1,7.24,162.5,0.64,4.873
Haryana,Hisar,Soybean,Kharif,7.96,530.5,21.6,7.36,200.6,0.11,4.606
Haryana,Rohtak,Mustard,Rabi,27.86,499.2,23.8,6.93,169.3,1.64,5.015
Uttar Pradesh,Varanasi,Chickpea,Rabi,97.39,1026.0,28.2,6.95,180.1,1.46,3.708
Punjab,Ludhiana,Rice,Kharif,116.12,632.9,26.2,7.4,157.5,0.76,7.868
Punjab,Amritsar,Soybean,Kharif,36.12,519.7,26.7,7.27,250.4,3.06,5.656
Tamil Nadu,Madurai,Wheat,Rabi,168.5,1163.0,30.9,6.95,108.3,1.76,7.948
Karnataka,Dharwad,Soybean,Kharif,182.82,953.8,28.1,6.83,98.3,1.53,5.27
Assam,Kamrup,Chickpea,Rabi,419.26,2182.8,23.3,6.12,101.3,2.31,4.44
Assam,Jorhat,Chickpea,Rabi,186.16,3339.1,21.0,4.51,148.1,8.79,4.886
West Bengal,Murshidabad,Rice,Kharif,328.59,1342.1,34.1,7.22,145.7,0.21,10.599
Tamil Nadu,Coimbatore,Wheat,Rabi,3.86,1168.7,21.2,6.83,162.4,2.27,9.459
Assam,Jorhat,Sugarcane,Whole Year,342.74,2531.6,31.7,6.38,126.4,2.63,13.0
Odisha,Sambalpur,Maize,Kharif,1.14,1322.8,27.6,5.63,116.6,9.68,9.4
Punjab,Patiala,Cotton,Kharif,133.74,663.7,19.2,7.28,193.5,1.83,4.7
Assam,Nagaon,Maize,Kharif,369.13,2583.9,33.5,5.17,100.1,0.97,8.714
Maharashtra,Nagpur,Groundnut,Kharif,102.6,985.7,32.1,6.63,100.0,1.08,5.234
Assam,Kamrup,Chickpea,Rabi,285.1,2260.2,30.8,5.36,48.5,0.73,3.533
Maharashtra,Pune,Sugarcane,Whole Year,55.4,1081.2,31.0,6.55,162.0,5.7,13.0
Assam,Kamrup,Cotton,Kharif,427.4,2279.2,27.7,4.93,80.3,6.08,5.355
Punjab,Patiala,Barley,Rabi,251.08,704.2,25.8,6.95,235.4,3.06,7.634
Rajasthan,Jaipur,Barley,Rabi,89.33,432.5,23.9,7.47,84.4,1.1,4.465
Bihar,Muzaffarpur,Rice,Kharif,94.74,1207.4,26.4,7.12,137.4,0.43,10.177
Madhya Pradesh,Indore,Sugarcane,Whole Year,219.55,1151.0,20.0,7.16,85.7,11.84,13.0
West Bengal,Murshidabad,Cotton,Kharif,97.27,1814.6,28.0,5.62,137.4,0.41,6.311
Odisha,Cuttack,Maize,Kharif,214.21,1621.7,27.7,5.76,126.9,2.24,9.946
Tamil Nadu,Coimbatore,Chickpea,Rabi,534.17,1123.0,29.7,6.28,169.1,12.85,4.155
Karnataka,Raichur,Soybean,Kharif,11.97,900.8,26.4,6.26,84.1,0.41,4.527
West Bengal,Nadia,Sugarcane,Whole Year,364.36,1579.8,29.2,6.09,146.2,0.11,13.0
Uttar Pradesh,Kanpur,Mustard,Rabi,8.51,811.8,28.7,7.31,176.5,1.77,5.091
Jharkhand,Dhanbad,Wheat,Rabi,15.89,1513.0,28.2,6.46,51.2,0.7,7.228
Madhya Pradesh,Indore,Soybean,Kharif,0.3,916.3,37.3,6.28,58.4,1.25,4.355
Jharkhand,Ranchi,Maize,Kharif,186.36,1210.2,33.3,5.91,70.1,0.58,7.475
Rajasthan,Jodhpur,Maize,Kharif,128.42,275.7,24.4,8.64,91.2,0.21,5.249
Karnataka,Dharwad,Mustard,Rabi,193.38,878.3,29.6,6.27,94.1,13.99,4.111
Rajasthan,Bikaner,Groundnut,Kharif,154.79,393.8,22.8,8.42,63.5,0.22,3.539
Haryana,Karnal,Soybean,Kharif,633.7,624.7,18.6,7.34,123.9,2.43,4.704
